sample_id,Battery_ID,split,obs_len,pred_len
0,4,train,2,28
1,4,train,3,27
2,4,train,4,26
3,4,train,5,25
4,4,train,6,24
5,4,train,7,23
6,4,train,8,22
7,4,train,9,21
8,4,train,10,20
9,4,train,11,19
10,4,train,12,18
11,4,train,13,17
12,4,train,14,16
13,4,train,15,15
14,4,train,16,14
15,4,train,17,13
16,4,train,18,12
17,4,train,19,11
18,4,train,20,10
19,4,train,21,9
20,4,train,22,8
21,4,train,23,7
22,4,train,24,6
23,4,train,25,5
24,4,train,26,4
25,4,train,27,3
26,4,train,28,2
27,4,train,29,1
28,5,val,11,17
29,6,train,2,25
30,6,train,3,24
31,6,train,4,23
32,6,train,5,22
33,6,train,6,21
34,6,train,7,20
35,6,train,8,19
36,6,train,9,18
37,6,train,10,17
38,6,train,11,16
39,6,train,12,15
40,6,train,13,14
41,6,train,14,13
42,6,train,15,12
43,6,train,16,11
44,6,train,17,10
45,6,train,18,9
46,6,train,19,8
47,6,train,20,7
48,6,train,21,6
49,6,train,22,5
50,6,train,23,4
51,6,train,24,3
52,6,train,25,2
53,6,train,26,1
54,7,train,2,22
55,7,train,3,21
56,7,train,4,20
57,7,train,5,19
58,7,train,6,18
59,7,train,7,17
60,7,train,8,16
61,7,train,9,15
62,7,train,10,14
63,7,train,11,13
64,7,train,12,12
65,7,train,13,11
66,7,train,14,10
67,7,train,15,9
68,7,train,16,8
69,7,train,17,7
70,7,train,18,6
71,7,train,19,5
72,7,train,20,4
73,7,train,21,3
74,7,train,22,2
75,7,train,23,1
76,9,test,2,3
77,10,train,2,25
78,10,train,3,24
79,10,train,4,23
80,10,train,5,22
81,10,train,6,21
82,10,train,7,20
83,10,train,8,19
84,10,train,9,18
85,10,train,10,17
86,10,train,11,16
87,10,train,12,15
88,10,train,13,14
89,10,train,14,13
90,10,train,15,12
91,10,train,16,11
92,10,train,17,10
93,10,train,18,9
94,10,train,19,8
95,10,train,20,7
96,10,train,21,6
97,10,train,22,5
98,10,train,23,4
99,10,train,24,3
100,10,train,25,2
101,10,train,26,1
102,11,test,10,16
103,14,test,6,8
104,15,test,12,17
105,16,test,10,15
106,17,test,2,3
107,18,train,2,4
108,18,train,3,3
109,18,train,4,2
110,18,train,5,1
111,19,train,2,3
112,19,train,3,2
113,19,train,4,1
114,20,test,9,13
115,21,test,12,18
116,22,train,2,26
117,22,train,3,25
118,22,train,4,24
119,22,train,5,23
120,22,train,6,22
121,22,train,7,21
122,22,train,8,20
123,22,train,9,19
124,22,train,10,18
125,22,train,11,17
126,22,train,12,16
127,22,train,13,15
128,22,train,14,14
129,22,train,15,13
130,22,train,16,12
131,22,train,17,11
132,22,train,18,10
133,22,train,19,9
134,22,train,20,8
135,22,train,21,7
136,22,train,22,6
137,22,train,23,5
138,22,train,24,4
139,22,train,25,3
140,22,train,26,2
141,22,train,27,1
142,23,train,2,27
143,23,train,3,26
144,23,train,4,25
145,23,train,5,24
146,23,train,6,23
147,23,train,7,22
148,23,train,8,21
149,23,train,9,20
150,23,train,10,19
151,23,train,11,18
152,23,train,12,17
153,23,train,13,16
154,23,train,14,15
155,23,train,15,14
156,23,train,16,13
157,23,train,17,12
158,23,train,18,11
159,23,train,19,10
160,23,train,20,9
161,23,train,21,8
162,23,train,22,7
163,23,train,23,6
164,23,train,24,5
165,23,train,25,4
166,23,train,26,3
167,23,train,27,2
168,23,train,28,1
169,24,train,2,25
170,24,train,3,24
171,24,train,4,23
172,24,train,5,22
173,24,train,6,21
174,24,train,7,20
175,24,train,8,19
176,24,train,9,18
177,24,train,10,17
178,24,train,11,16
179,24,train,12,15
180,24,train,13,14
181,24,train,14,13
182,24,train,15,12
183,24,train,16,11
184,24,train,17,10
185,24,train,18,9
186,24,train,19,8
187,24,train,20,7
188,24,train,21,6
189,24,train,22,5
190,24,train,23,4
191,24,train,24,3
192,24,train,25,2
193,24,train,26,1
194,25,val,12,18
195,26,test,12,17
196,27,train,2,26
197,27,train,3,25
198,27,train,4,24
199,27,train,5,23
200,27,train,6,22
201,27,train,7,21
202,27,train,8,20
203,27,train,9,19
204,27,train,10,18
205,27,train,11,17
206,27,train,12,16
207,27,train,13,15
208,27,train,14,14
209,27,train,15,13
210,27,train,16,12
211,27,train,17,11
212,27,train,18,10
213,27,train,19,9
214,27,train,20,8
215,27,train,21,7
216,27,train,22,6
217,27,train,23,5
218,27,train,24,4
219,27,train,25,3
220,27,train,26,2
221,27,train,27,1
222,32,val,11,17
223,33,train,2,26
224,33,train,3,25
225,33,train,4,24
226,33,train,5,23
227,33,train,6,22
228,33,train,7,21
229,33,train,8,20
230,33,train,9,19
231,33,train,10,18
232,33,train,11,17
233,33,train,12,16
234,33,train,13,15
235,33,train,14,14
236,33,train,15,13
237,33,train,16,12
238,33,train,17,11
239,33,train,18,10
240,33,train,19,9
241,33,train,20,8
242,33,train,21,7
243,33,train,22,6
244,33,train,23,5
245,33,train,24,4
246,33,train,25,3
247,33,train,26,2
248,33,train,27,1
249,34,train,2,26
250,34,train,3,25
251,34,train,4,24
252,34,train,5,23
253,34,train,6,22
254,34,train,7,21
255,34,train,8,20
256,34,train,9,19
257,34,train,10,18
258,34,train,11,17
259,34,train,12,16
260,34,train,13,15
261,34,train,14,14
262,34,train,15,13
263,34,train,16,12
264,34,train,17,11
265,34,train,18,10
266,34,train,19,9
267,34,train,20,8
268,34,train,21,7
269,34,train,22,6
270,34,train,23,5
271,34,train,24,4
272,34,train,25,3
273,34,train,26,2
274,34,train,27,1
275,35,train,2,26
276,35,train,3,25
277,35,train,4,24
278,35,train,5,23
279,35,train,6,22
280,35,train,7,21
281,35,train,8,20
282,35,train,9,19
283,35,train,10,18
284,35,train,11,17
285,35,train,12,16
286,35,train,13,15
287,35,train,14,14
288,35,train,15,13
289,35,train,16,12
290,35,train,17,11
291,35,train,18,10
292,35,train,19,9
293,35,train,20,8
294,35,train,21,7
295,35,train,22,6
296,35,train,23,5
297,35,train,24,4
298,35,train,25,3
299,35,train,26,2
300,35,train,27,1
301,37,train,2,26
302,37,train,3,25
303,37,train,4,24
304,37,train,5,23
305,37,train,6,22
306,37,train,7,21
307,37,train,8,20
308,37,train,9,19
309,37,train,10,18
310,37,train,11,17
311,37,train,12,16
312,37,train,13,15
313,37,train,14,14
314,37,train,15,13
315,37,train,16,12
316,37,train,17,11
317,37,train,18,10
318,37,train,19,9
319,37,train,20,8
320,37,train,21,7
321,37,train,22,6
322,37,train,23,5
323,37,train,24,4
324,37,train,25,3
325,37,train,26,2
326,37,train,27,1
327,38,train,2,26
328,38,train,3,25
329,38,train,4,24
330,38,train,5,23
331,38,train,6,22
332,38,train,7,21
333,38,train,8,20
334,38,train,9,19
335,38,train,10,18
336,38,train,11,17
337,38,train,12,16
338,38,train,13,15
339,38,train,14,14
340,38,train,15,13
341,38,train,16,12
342,38,train,17,11
343,38,train,18,10
344,38,train,19,9
345,38,train,20,8
346,38,train,21,7
347,38,train,22,6
348,38,train,23,5
349,38,train,24,4
350,38,train,25,3
351,38,train,26,2
352,38,train,27,1
353,41,train,2,26
354,41,train,3,25
355,41,train,4,24
356,41,train,5,23
357,41,train,6,22
358,41,train,7,21
359,41,train,8,20
360,41,train,9,19
361,41,train,10,18
362,41,train,11,17
363,41,train,12,16
364,41,train,13,15
365,41,train,14,14
366,41,train,15,13
367,41,train,16,12
368,41,train,17,11
369,41,train,18,10
370,41,train,19,9
371,41,train,20,8
372,41,train,21,7
373,41,train,22,6
374,41,train,23,5
375,41,train,24,4
376,41,train,25,3
377,41,train,26,2
378,41,train,27,1
379,42,train,2,26
380,42,train,3,25
381,42,train,4,24
382,42,train,5,23
383,42,train,6,22
384,42,train,7,21
385,42,train,8,20
386,42,train,9,19
387,42,train,10,18
388,42,train,11,17
389,42,train,12,16
390,42,train,13,15
391,42,train,14,14
392,42,train,15,13
393,42,train,16,12
394,42,train,17,11
395,42,train,18,10
396,42,train,19,9
397,42,train,20,8
398,42,train,21,7
399,42,train,22,6
400,42,train,23,5
401,42,train,24,4
402,42,train,25,3
403,42,train,26,2
404,42,train,27,1
405,43,test,10,16
406,44,train,2,26
407,44,train,3,25
408,44,train,4,24
409,44,train,5,23
410,44,train,6,22
411,44,train,7,21
412,44,train,8,20
413,44,train,9,19
414,44,train,10,18
415,44,train,11,17
416,44,train,12,16
417,44,train,13,15
418,44,train,14,14
419,44,train,15,13
420,44,train,16,12
421,44,train,17,11
422,44,train,18,10
423,44,train,19,9
424,44,train,20,8
425,44,train,21,7
426,44,train,22,6
427,44,train,23,5
428,44,train,24,4
429,44,train,25,3
430,44,train,26,2
431,44,train,27,1
432,46,train,2,26
433,46,train,3,25
434,46,train,4,24
435,46,train,5,23
436,46,train,6,22
437,46,train,7,21
438,46,train,8,20
439,46,train,9,19
440,46,train,10,18
441,46,train,11,17
442,46,train,12,16
443,46,train,13,15
444,46,train,14,14
445,46,train,15,13
446,46,train,16,12
447,46,train,17,11
448,46,train,18,10
449,46,train,19,9
450,46,train,20,8
451,46,train,21,7
452,46,train,22,6
453,46,train,23,5
454,46,train,24,4
455,46,train,25,3
456,46,train,26,2
457,46,train,27,1
458,47,test,10,15
459,48,train,2,26
460,48,train,3,25
461,48,train,4,24
462,48,train,5,23
463,48,train,6,22
464,48,train,7,21
465,48,train,8,20
466,48,train,9,19
467,48,train,10,18
468,48,train,11,17
469,48,train,12,16
470,48,train,13,15
471,48,train,14,14
472,48,train,15,13
473,48,train,16,12
474,48,train,17,11
475,48,train,18,10
476,48,train,19,9
477,48,train,20,8
478,48,train,21,7
479,48,train,22,6
480,48,train,23,5
481,48,train,24,4
482,48,train,25,3
483,48,train,26,2
484,48,train,27,1
485,51,train,2,25
486,51,train,3,24
487,51,train,4,23
488,51,train,5,22
489,51,train,6,21
490,51,train,7,20
491,51,train,8,19
492,51,train,9,18
493,51,train,10,17
494,51,train,11,16
495,51,train,12,15
496,51,train,13,14
497,51,train,14,13
498,51,train,15,12
499,51,train,16,11
500,51,train,17,10
501,51,train,18,9
502,51,train,19,8
503,51,train,20,7
504,51,train,21,6
505,51,train,22,5
506,51,train,23,4
507,51,train,24,3
508,51,train,25,2
509,51,train,26,1
510,53,train,2,26
511,53,train,3,25
512,53,train,4,24
513,53,train,5,23
514,53,train,6,22
515,53,train,7,21
516,53,train,8,20
517,53,train,9,19
518,53,train,10,18
519,53,train,11,17
520,53,train,12,16
521,53,train,13,15
522,53,train,14,14
523,53,train,15,13
524,53,train,16,12
525,53,train,17,11
526,53,train,18,10
527,53,train,19,9
528,53,train,20,8
529,53,train,21,7
530,53,train,22,6
531,53,train,23,5
532,53,train,24,4
533,53,train,25,3
534,53,train,26,2
535,53,train,27,1
536,55,train,2,20
537,55,train,3,19
538,55,train,4,18
539,55,train,5,17
540,55,train,6,16
541,55,train,7,15
542,55,train,8,14
543,55,train,9,13
544,55,train,10,12
545,55,train,11,11
546,55,train,12,10
547,55,train,13,9
548,55,train,14,8
549,55,train,15,7
550,55,train,16,6
551,55,train,17,5
552,55,train,18,4
553,55,train,19,3
554,55,train,20,2
555,55,train,21,1
556,56,train,2,26
557,56,train,3,25
558,56,train,4,24
559,56,train,5,23
560,56,train,6,22
561,56,train,7,21
562,56,train,8,20
563,56,train,9,19
564,56,train,10,18
565,56,train,11,17
566,56,train,12,16
567,56,train,13,15
568,56,train,14,14
569,56,train,15,13
570,56,train,16,12
571,56,train,17,11
572,56,train,18,10
573,56,train,19,9
574,56,train,20,8
575,56,train,21,7
576,56,train,22,6
577,56,train,23,5
578,56,train,24,4
579,56,train,25,3
580,56,train,26,2
581,56,train,27,1
582,59,val,11,17
583,61,train,2,26
584,61,train,3,25
585,61,train,4,24
586,61,train,5,23
587,61,train,6,22
588,61,train,7,21
589,61,train,8,20
590,61,train,9,19
591,61,train,10,18
592,61,train,11,17
593,61,train,12,16
594,61,train,13,15
595,61,train,14,14
596,61,train,15,13
597,61,train,16,12
598,61,train,17,11
599,61,train,18,10
600,61,train,19,9
601,61,train,20,8
602,61,train,21,7
603,61,train,22,6
604,61,train,23,5
605,61,train,24,4
606,61,train,25,3
607,61,train,26,2
608,61,train,27,1
609,62,val,11,16
610,63,val,11,17
611,65,train,2,26
612,65,train,3,25
613,65,train,4,24
614,65,train,5,23
615,65,train,6,22
616,65,train,7,21
617,65,train,8,20
618,65,train,9,19
619,65,train,10,18
620,65,train,11,17
621,65,train,12,16
622,65,train,13,15
623,65,train,14,14
624,65,train,15,13
625,65,train,16,12
626,65,train,17,11
627,65,train,18,10
628,65,train,19,9
629,65,train,20,8
630,65,train,21,7
631,65,train,22,6
632,65,train,23,5
633,65,train,24,4
634,65,train,25,3
635,65,train,26,2
636,65,train,27,1
637,66,val,11,17
638,67,val,11,16
639,68,train,2,25
640,68,train,3,24
641,68,train,4,23
642,68,train,5,22
643,68,train,6,21
644,68,train,7,20
645,68,train,8,19
646,68,train,9,18
647,68,train,10,17
648,68,train,11,16
649,68,train,12,15
650,68,train,13,14
651,68,train,14,13
652,68,train,15,12
653,68,train,16,11
654,68,train,17,10
655,68,train,18,9
656,68,train,19,8
657,68,train,20,7
658,68,train,21,6
659,68,train,22,5
660,68,train,23,4
661,68,train,24,3
662,68,train,25,2
663,68,train,26,1
664,69,train,2,26
665,69,train,3,25
666,69,train,4,24
667,69,train,5,23
668,69,train,6,22
669,69,train,7,21
670,69,train,8,20
671,69,train,9,19
672,69,train,10,18
673,69,train,11,17
674,69,train,12,16
675,69,train,13,15
676,69,train,14,14
677,69,train,15,13
678,69,train,16,12
679,69,train,17,11
680,69,train,18,10
681,69,train,19,9
682,69,train,20,8
683,69,train,21,7
684,69,train,22,6
685,69,train,23,5
686,69,train,24,4
687,69,train,25,3
688,69,train,26,2
689,69,train,27,1
690,70,train,2,26
691,70,train,3,25
692,70,train,4,24
693,70,train,5,23
694,70,train,6,22
695,70,train,7,21
696,70,train,8,20
697,70,train,9,19
698,70,train,10,18
699,70,train,11,17
700,70,train,12,16
701,70,train,13,15
702,70,train,14,14
703,70,train,15,13
704,70,train,16,12
705,70,train,17,11
706,70,train,18,10
707,70,train,19,9
708,70,train,20,8
709,70,train,21,7
710,70,train,22,6
711,70,train,23,5
712,70,train,24,4
713,70,train,25,3
714,70,train,26,2
715,70,train,27,1
716,71,val,11,17
717,72,train,2,25
718,72,train,3,24
719,72,train,4,23
720,72,train,5,22
721,72,train,6,21
722,72,train,7,20
723,72,train,8,19
724,72,train,9,18
725,72,train,10,17
726,72,train,11,16
727,72,train,12,15
728,72,train,13,14
729,72,train,14,13
730,72,train,15,12
731,72,train,16,11
732,72,train,17,10
733,72,train,18,9
734,72,train,19,8
735,72,train,20,7
736,72,train,21,6
737,72,train,22,5
738,72,train,23,4
739,72,train,24,3
740,72,train,25,2
741,72,train,26,1
742,73,train,2,25
743,73,train,3,24
744,73,train,4,23
745,73,train,5,22
746,73,train,6,21
747,73,train,7,20
748,73,train,8,19
749,73,train,9,18
750,73,train,10,17
751,73,train,11,16
752,73,train,12,15
753,73,train,13,14
754,73,train,14,13
755,73,train,15,12
756,73,train,16,11
757,73,train,17,10
758,73,train,18,9
759,73,train,19,8
760,73,train,20,7
761,73,train,21,6
762,73,train,22,5
763,73,train,23,4
764,73,train,24,3
765,73,train,25,2
766,73,train,26,1
767,74,train,2,25
768,74,train,3,24
769,74,train,4,23
770,74,train,5,22
771,74,train,6,21
772,74,train,7,20
773,74,train,8,19
774,74,train,9,18
775,74,train,10,17
776,74,train,11,16
777,74,train,12,15
778,74,train,13,14
779,74,train,14,13
780,74,train,15,12
781,74,train,16,11
782,74,train,17,10
783,74,train,18,9
784,74,train,19,8
785,74,train,20,7
786,74,train,21,6
787,74,train,22,5
788,74,train,23,4
789,74,train,24,3
