split,task,component,MAE macro [std],MAE macro [std],MAE pooled [std],MAE pooled [std],RMSE pooled [std],RMSE pooled [std],R2 pooled [std],R2 pooled [std],MAE macro [physical],MAE macro [physical],MAE pooled [physical],MAE pooled [physical],RMSE pooled [physical],RMSE pooled [physical],R2 pooled [physical],R2 pooled [physical],MAPE macro [%],MAPE macro [%]
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
test,R0,SOC10_R0,0.18705981220504442,0.008936567249923201,0.17708513457347513,0.012385482155726121,0.26366095489733576,0.010424892719247746,0.9003614256182203,0.007715223895773828,1.269369569321333,0.06445954606212839,1.2444546656522495,0.08567092729842914,1.9135178714961316,0.08994804119328491,0.892731409500436,0.009786603722267449,4.185622084647495,0.1981846363574783
test,R0,SOC50_R0,0.15724323663414924,0.006920046869474424,0.15839251795632073,0.008902539207496866,0.24191896167790836,0.00810311826709592,0.9148288433971864,0.005727529054624103,1.0995362493396204,0.04564055413038911,1.136175175699387,0.05613563634196744,1.8159599286700245,0.059743645234370577,0.9048360193662865,0.006231605553126058,3.796695972730551,0.16894485961427147
test,R0,SOC90_R0,0.4037972769552825,0.023752806272141467,0.38665739575524666,0.025426534707395358,0.640913827461303,0.0626489548149731,0.3866316893028676,0.1208179149067865,3.2370963099123857,0.11599476944888468,3.1907104456468955,0.1262737583339253,4.63526529169991,0.22844524554080448,0.4657119561978341,0.05239352424215308,11.367971517572828,0.3038795294092185
test,R1,SOC10_R1,0.3211510075987002,0.03104740924141704,0.32146639608387606,0.02759876743916595,0.5032256375555734,0.053885912233128865,0.858224137189142,0.03191081022250482,1.113878633426161,0.1359271791126395,1.09965444811392,0.11764035230327782,2.0128172439799314,0.29497778918524514,0.8323237180251853,0.05264659364257073,5.09772743082034,0.585269254106481
test,R1,SOC50_R1,0.30678356189615347,0.01588562489298474,0.3149959239134506,0.013244853346388316,0.5003895050045948,0.01312727372157906,0.82597827359925,0.00912803193809501,0.7919963710574994,0.0508010898727136,0.8166408769330374,0.042868916598308056,1.5163526610557592,0.0550564526508642,0.7808997519919361,0.015929985657689175,5.569636536748399,0.34995907166608037
test,R1,SOC90_R1,0.2797996259624284,0.0048277914447785895,0.2790811138478683,0.006569106090340159,0.3801692447572918,0.016963900301318332,0.7941474365636673,0.018554477959857124,3.041478301939862,0.09770185223119592,2.813306217738086,0.13530979327126338,4.352520632376494,0.4850126980653979,0.7261172305804452,0.06157854748394139,11.303593688250903,0.3371889602194284
test,R2,SOC10_R2,0.2884261144378146,0.02315164368467826,0.3115642916374094,0.026185974383066152,0.6378186235337224,0.025210066528713885,0.7708588978847913,0.01838825168061467,0.4043360093895524,0.035377560992256835,0.42766821869870303,0.03857322229765902,0.8346642919686836,0.03448689943657136,0.7707199523084963,0.01910761161224508,4.223561107959287,0.28029380539500726
test,R2,SOC50_R2,0.2336670050213935,0.0085118227999012,0.23731319599678796,0.00705016700593611,0.39494839746466526,0.005909571898705144,0.8428951126204037,0.0047408399159953925,0.12522660945048614,0.004854295704385634,0.1280292800458871,0.004189906957749037,0.22801808872632448,0.003085417257872155,0.8237949858313994,0.004795077332144181,2.511712683814857,0.09602618763683203
test,R2,SOC90_R2,0.16979031509195708,0.016103778718260242,0.17238636095160348,0.016915315079734795,0.25515770867051324,0.01381756024810546,0.8562721062014521,0.015620302966200676,0.20052816376605337,0.01833682724901261,0.20835648874786877,0.019153688267419686,0.3251760928607884,0.015923501535755637,0.8299696515440639,0.016689000558729017,3.4579348146645095,0.3147993609671464
test,SOH,SOH,0.10381824809304918,0.013403320085009262,0.10549599713379357,0.015034525077858215,0.18093142850584698,0.014528076854426628,0.9408760613240965,0.009834649938370918,1.0898706732015584,0.140706337782664,1.1074834677736698,0.1578305189005408,1.8993949658276836,0.15251389030824933,0.9408760613240965,0.009834649938370918,1.5447824827325047,0.19103525676450495
