weight_config,seed,split,task,component,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%],N cells,N points
soh50,42,val,SOH,SOH,0.1028354693567591,0.1062576103385037,0.19731581058459713,0.9350587390275937,1.0795535878856068,1.1154787856622235,2.0713961106568126,0.9350587390275936,1.5753976594751078,45,662
soh50,42,val,R0,SOC10_R0,0.20547466145953044,0.19974515481187066,0.3367173899205449,0.8339906474242514,1.3495501347134096,1.3395331785154445,2.256109427581902,0.8449233457703079,4.650804286442655,45,659
soh50,42,val,R0,SOC50_R0,0.1791047363581022,0.17930443145937675,0.31454372489063315,0.8637286326181897,1.233876190395416,1.270017771460871,2.429980367964721,0.8420503660189197,4.260735054157006,45,658
soh50,42,val,R0,SOC90_R0,0.5142895436064189,0.5106204992397965,0.9910216976298937,0.6789632868231914,3.3888545114735664,3.3584964892649514,4.714732181901735,0.7243124734098844,20.04834698099421,45,590
soh50,42,val,R1,SOC10_R1,0.37612884124838397,0.3876673094316111,0.659398324144085,0.8649562354271644,1.4511405955535508,1.5259229889043473,3.8485899034049593,0.7792851788915315,5.842762980648124,45,658
soh50,42,val,R1,SOC50_R1,0.3038687925858594,0.31416767438669213,0.5191407040811523,0.8780651886155604,0.835374526459396,0.8708553064581759,1.8500251214521997,0.8401891970559352,5.3822934304950225,45,656
soh50,42,val,R1,SOC90_R1,0.34515874787237494,0.3239279822068742,0.4411998302483379,0.8168372307807144,4.580299661407372,3.7763271832068717,7.194821332212019,0.7024812033155752,13.575262827911962,44,467
soh50,42,val,R2,SOC10_R2,0.3215368346133765,0.33438581098767134,0.6942617645362691,0.7753291561890492,0.4862224567749205,0.502405226789902,1.1053357267580146,0.7197341287160615,4.9033570199773395,45,634
soh50,42,val,R2,SOC50_R2,0.29094019682416616,0.2926985315043509,0.5590380936265471,0.7566770279237596,0.16485125406159318,0.16702862021187248,0.35891186284456844,0.7010639800311966,3.033378546390663,45,630
soh50,42,val,R2,SOC90_R2,0.2191795222901278,0.1950675252415435,0.31889845269083866,0.7858940048774008,0.2715127121526593,0.2422126491524128,0.4449145216487613,0.7251678022690752,4.640803408110967,42,382
soh50,42,test,SOH,SOH,0.10093431686400373,0.10242219489379233,0.17692285902611982,0.9437569435420967,1.0595955324840065,1.0752150854985607,1.8573135167790558,0.9437569435420967,1.500354525576894,45,622
soh50,42,test,R0,SOC10_R0,0.17791168249703415,0.16174736010045415,0.24617199149726116,0.913249832160742,1.1898611946791426,1.1302553770182033,1.7567780844732026,0.9097443674117934,4.000400244946268,45,614
soh50,42,test,R0,SOC50_R0,0.15053823123050972,0.1480620820818933,0.2331191635888724,0.9209832696043841,1.04459892004257,1.0625110020128685,1.7318087269159173,0.9135263006594878,3.643954557914496,45,616
soh50,42,test,R0,SOC90_R0,0.3804614497369186,0.3586129022401354,0.5809394514680534,0.4998771622003222,3.0854476632365846,3.0109660334435295,4.322327811616558,0.536319758741772,10.854305547647643,45,558
soh50,42,test,R1,SOC10_R1,0.3236274302242095,0.32252186748729395,0.4833121759579555,0.8704114593291343,1.1067704016360762,1.0901605557235536,1.8923262564165484,0.854301009136256,5.144757060620983,45,613
soh50,42,test,R1,SOC50_R1,0.31516234014637595,0.3200245501256023,0.5063350837332745,0.8219163371295312,0.8112350438509536,0.8289988307225448,1.5442036771498404,0.7730167482489791,5.729823309358596,45,616
soh50,42,test,R1,SOC90_R1,0.28123591190431674,0.2826405931273378,0.3641402005214222,0.8114405347304708,2.9906182106712738,2.775007719519166,3.907010203308313,0.7814860206728833,11.581946747925938,44,450
soh50,42,test,R2,SOC10_R2,0.2689026211179072,0.28674442822941476,0.6145625829648648,0.7875296223632628,0.3767690696332401,0.39268334019788903,0.8048750556658958,0.7870847378491594,3.997079476837413,45,603
soh50,42,test,R2,SOC50_R2,0.2459615136335797,0.24244172251789142,0.3943616919302169,0.8433895828410858,0.13220825384951648,0.13176884646078807,0.22888184383280538,0.822483495917034,2.641918651280559,45,599
soh50,42,test,R2,SOC90_R2,0.16732141514786342,0.17162989911630672,0.24951389700610216,0.8628816829711459,0.19747094576240945,0.20842010197395824,0.31767377721324525,0.8380355774465974,3.4577275977796327,39,379
soh50,43,val,SOH,SOH,0.10088194644141113,0.10135766092457126,0.19585190964439914,0.9360187727517344,1.059045754494345,1.0640397442171223,2.056028266058202,0.9360187727517344,1.5582382061364737,45,662
soh50,43,val,R0,SOC10_R0,0.19346821627794833,0.18945847795156223,0.33319683075298656,0.8374439315143803,1.2865608657031042,1.282832864930935,2.250860523552735,0.8456440870502794,4.344884339316079,45,659
soh50,43,val,R0,SOC50_R0,0.17250535749542664,0.17314339359786282,0.3104923564576209,0.8672164150934814,1.2092696296308885,1.2441755105122674,2.4203729346958673,0.8432968705017042,4.083882101805568,45,658
soh50,43,val,R0,SOC90_R0,0.5177234569120243,0.5128096168242213,0.953633760710706,0.7027296397672973,3.4231101495790144,3.3914193935865002,4.712598403352764,0.7245619565161219,18.784522918986948,45,590
