seed,split,task,component,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%],N cells,N points
42,val,R0,SOC10_R0,0.19730464199353825,0.1964799251150529,0.3314719122643742,0.8391226400413219,1.3274515483513083,1.336480834140595,2.273380698563353,0.8425399305005782,4.425447334790247,45,659
42,val,R0,SOC50_R0,0.17466329685081056,0.17667887691694303,0.3123571172406428,0.8656166773489682,1.230726535096375,1.2686327889970808,2.429447823780225,0.8421195895755937,4.125531524607684,45,658
42,val,R0,SOC90_R0,0.48000533968112974,0.47399632881042325,0.8731504676244765,0.7507893740620205,3.2686077579636263,3.229454238393421,4.586483357439956,0.739106832739828,17.00025538256231,45,590
42,test,R0,SOC10_R0,0.1777431929674514,0.17244948178173003,0.2556381434429916,0.9064498786233142,1.2209214369667498,1.219406562780701,1.8644200787377334,0.8983451632757438,3.998038434045991,45,614
42,test,R0,SOC50_R0,0.150395363052485,0.1529191556610976,0.23103539607967882,0.9223895599199365,1.0612822859078384,1.1064749525885118,1.7231213890402397,0.9143916872688972,3.635539688928567,45,616
42,test,R0,SOC90_R0,0.38049039060048273,0.3582521864596615,0.5894657987342458,0.48508899935544114,3.0910654528167636,3.0086943070549585,4.361643493265721,0.5278461701062314,11.039299852169966,45,558
43,val,R0,SOC10_R0,0.21819443215514803,0.22056735258133253,0.3544517157627071,0.8160432919597478,1.4651165476046335,1.4999687880829133,2.453127581035406,0.8166561390701406,4.873540905190213,45,659
43,val,R0,SOC50_R0,0.2191875570406361,0.22835807741752692,0.3717804705233757,0.8096224610791525,1.551904776041215,1.6425826000271542,2.868365104565848,0.7799193019713836,5.112257626087076,45,658
43,val,R0,SOC90_R0,0.4834014744058875,0.4818929334835078,0.8830400595644144,0.7451121193859223,3.2696595867151284,3.252158678449144,4.533929214015492,0.745051458344357,17.336818661101077,45,590
43,test,R0,SOC10_R0,0.1841743717877977,0.17647046204524117,0.2629994378024486,0.9009846137701445,1.2526773205769928,1.2360336246500447,1.8943592733633068,0.8950541665488265,4.1324179575914295,45,614
43,test,R0,SOC50_R0,0.16854759479668785,0.17047086154031735,0.26401034069232227,0.8986543814115557,1.1689985080693341,1.2119566730169016,1.943342433287347,0.8911112886316406,4.018835137411309,45,616
43,test,R0,SOC90_R0,0.3836862139961027,0.36350892289708775,0.6186355585105415,0.43286727946451453,3.0800841618328776,3.0273886275680817,4.381675088095757,0.5234993164664277,11.233738945603513,45,558
44,val,R0,SOC10_R0,0.19966314686873834,0.1986571161455527,0.3455719830743892,0.8251448155364989,1.3430291390948095,1.3503346601941653,2.3594654972639084,0.8303892541601369,4.471634821190117,45,659
44,val,R0,SOC50_R0,0.18833015677384413,0.19082013284716767,0.3236487525093986,0.8557252144096166,1.3181739732534428,1.3578301685667713,2.494162634239625,0.8335964330733071,4.460107720400475,45,658
44,val,R0,SOC90_R0,0.5074634785278849,0.49020557565371886,0.8872793572131101,0.7426589139571906,3.4513527450780845,3.350897604966693,4.816687526768559,0.7122601534388104,17.325360321380952,45,590
44,test,R0,SOC10_R0,0.17720316653324686,0.17225667347814239,0.2638802469631216,0.9003202800116564,1.2182247497159673,1.2116420503372738,1.9104458030825326,0.8932642397003983,3.966870567626275,45,614
44,test,R0,SOC50_R0,0.1705019985464691,0.17480884958578308,0.2627254611387669,0.8996384341154193,1.1959403643912314,1.2465886803943467,1.9460829227610799,0.8908039637165717,4.130340427639295,45,616
44,test,R0,SOC90_R0,0.3694658312495369,0.34757388675195044,0.5997044169347723,0.46704634963820313,2.9911286853664953,2.9147769360997584,4.348802103550128,0.5306222731740171,10.825799029639363,45,558
45,val,R0,SOC10_R0,0.20115562608816234,0.19811181370250186,0.3393466482096492,0.8313879567847609,1.3342517802451015,1.3351197487192334,2.306945740547702,0.8378560077067146,4.521436971995619,45,659
45,val,R0,SOC50_R0,0.17858447336707167,0.1800559112252979,0.3264213010353643,0.8532427565846539,1.258006246188172,1.2963856315555606,2.5333313644072515,0.8283289378915384,4.17182660750412,45,658
45,val,R0,SOC90_R0,0.4784741981292435,0.4745964597106588,0.8904113358839415,0.7408389475635389,3.239071640346621,3.203817254049545,4.589903877617765,0.7387175483849289,17.309629008146437,45,590
45,test,R0,SOC10_R0,0.17919929947994082,0.17411839815962687,0.25709077779541234,0.9053836823233088,1.2118500421740341,1.2113572319114692,1.8395198743292789,0.9010423272740383,4.033414501159692,45,614
45,test,R0,SOC50_R0,0.1628179034016737,0.16839693941834744,0.2494923115540641,0.9094939864352531,1.1364058193093318,1.1966540002938557,1.8261074025933528,0.9038527593471068,3.909519392707315,45,616
45,test,R0,SOC90_R0,0.3708550565621181,0.35126552627782637,0.6039377058290543,0.4594955972038862,2.991213972713358,2.935245601072114,4.381333911910425,0.5235735183883041,10.974858732455122,45,558
46,val,R0,SOC10_R0,0.2046567333859673,0.2082762572787524,0.34414722436794803,0.8265836641521425,1.391326883683832,1.4277877619902568,2.363385913625806,0.8298251457466573,4.634666818585893,45,659
46,val,R0,SOC50_R0,0.19323400563068194,0.1984860333911282,0.32201753546275025,0.8571758636848228,1.367459918405942,1.4274089241340946,2.5111894372073347,0.8313167166118509,4.584961414623331,45,658
46,val,R0,SOC90_R0,0.487901284248976,0.4868316755473211,0.9036147307574438,0.733096063883945,3.2844945989994763,3.2747432908239755,4.590503354807418,0.7386492928821067,17.572682430919734,45,590
46,test,R0,SOC10_R0,0.1798659224750806,0.17404013138514407,0.25539464962070335,0.9066280056269777,1.2346273285410225,1.2237187539701564,1.8554872406026248,0.8993169301453113,4.043480567776025,45,614
46,test,R0,SOC50_R0,0.16364379344838553,0.16694154172605463,0.23733888305143522,0.9180967960509006,1.1491387242935998,1.194782025198889,1.7548212197781017,0.9112128847727038,3.9591730381737804,45,616
46,test,R0,SOC90_R0,0.4034457179925112,0.38158225048276867,0.6374899420856788,0.3977710616587623,3.2083740373765703,3.13970988902347,4.5581252959097,0.48434918877476285,11.517751233304162,45,558
