seed,split,task,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%],unit
42,test,R0,0.23620964887347304,0.22787360796749637,0.3587131127523054,0.771309479299564,1.7910897252304505,1.778191940808057,2.6497283203478976,0.7801943402169574,6.224292658381508,R original unit
42,val,R0,0.28399109284182616,0.28238504361413974,0.5056598323764978,0.8185095638174369,1.9422619471371032,1.944855953843699,3.0964372932611783,0.8079221176053334,8.517078080653414,R original unit
43,test,R0,0.24546939352686273,0.23681674882754877,0.3818817790017708,0.744168758215405,1.8339199968264015,1.825126308411676,2.73979226491547,0.7698882572156315,6.461664013535416,R original unit
43,val,R0,0.3069278212005572,0.31027278782745576,0.5364240819501658,0.7902592908082742,2.095560303453659,2.131570022186404,3.285140633205582,0.7805422997952937,9.107539064126122,R original unit
44,test,R0,0.23905699877641762,0.2315464699386253,0.3754367083455536,0.7556683545884263,1.8017645998245646,1.7910025556104596,2.7351102764645803,0.7715634921969956,6.307670008301645,R original unit
44,val,R0,0.29848559405682246,0.2932276082154797,0.5188333642656326,0.807842981301102,2.037518619142112,2.0196874779092098,3.2234385527573646,0.7920819468907515,8.752367620990514,R original unit
45,test,R0,0.23762408648124422,0.23126028795193357,0.3701735983928436,0.7581244219874828,1.7798232780655745,1.7810856110924795,2.6823203962776856,0.7761562016698164,6.305930875440709,R original unit
45,val,R0,0.2860714325281592,0.28425472821281955,0.5187264283763183,0.8084898869776511,1.9437765555932982,1.9451075447747794,3.1433936608575728,0.8016341646610606,8.667630862548725,R original unit
46,test,R0,0.24898514463865914,0.24085464119798913,0.37674115825260585,0.740831954445547,1.8640466967370644,1.8527368893975051,2.722811252096809,0.7649596678975926,6.506801613084655,R original unit
46,val,R0,0.2952640077552084,0.29786465540573387,0.5232598301960474,0.8056185305736369,2.0144271336964166,2.0433133256494425,3.1550262352135197,0.799930385080205,8.930770221376319,R original unit
