最终 SOH 分组,工况分组,电芯数量,电芯文件夹编号范围
≤60,"PAU, PUL",0,无
≤60,"PUL, PAU",62,"004, 015, 023, 031–032, 034, 036, 039–042, 044, 049, 060, 201–205, 207, 209–211, 213–217, 219, 221, 228, 232–233, 236, 238–239, 241, 243, 245, 249, 301, 304, 307, 310, 312–313, 318, 322–326, 329–330, 333–334, 338, 341–342, 344, 349, 543"
60–70,"PAU, PUL",0,无
60–70,"PUL, PAU",151,"008, 010, 016, 021, 024–026, 029, 037–038, 045, 048, 051–053, 057, 061–062, 070, 072, 074, 079–081, 084–085, 087–088, 090–091, 093–098, 100, 108–112, 114–119, 124, 128–129, 132–134, 137, 141–143, 149, 151–152, 154, 157–159, 161–165, 168–171, 173–176, 179–182, 184–185, 189, 191–192, 194, 196, 212, 220, 222, 224–227, 230–231, 235, 237, 247, 252, 255–258, 264–265, 267–268, 270–271, 273, 275–277, 285, 288, 290, 311, 314, 319, 321, 339, 345, 503–506, 508, 510–511, 514–515, 517–519, 521–522, 527–530, 533–537, 546–547, 549"
70–75,"PAU, PUL",0,无
70–75,"PUL, PAU",89,"005–006, 020, 022, 027, 033, 046, 055–056, 058–059, 063, 065–066, 068–069, 071, 073, 075, 077, 082–083, 086, 089, 092, 101, 105, 107, 122, 130, 160, 166–167, 178, 183, 187–188, 195, 206, 218, 253, 259, 261, 263, 266, 280–283, 286, 295, 302–303, 305–306, 308–309, 315, 317, 320, 332, 335–337, 346–348, 350–353, 357–358, 362, 507, 509, 513, 516, 523, 532, 538–541, 544–545, 548, 550, 572"
75–80,"PAU, PUL",0,无
75–80,"PUL, PAU",24,"003, 007, 011, 014, 035, 043, 047, 067, 076, 078, 099, 102, 139, 146, 148, 223, 246, 254, 260, 274, 278, 287, 292, 512"
80–85,"PAU, PUL",0,无
80–85,"PUL, PAU",8,"113, 127, 138, 147, 153, 190, 269, 542"
85–90,"PAU, PUL",0,无
85–90,"PUL, PAU",8,"009, 131, 140, 155, 193, 240, 242, 293"
90–95,"PAU, PUL",20,"429, 554, 557, 559–561, 565, 568, 571, 578, 581, 583, 585, 587, 592–593, 595, 597–598, 600"
90–95,"PUL, PAU",44,"017–019, 106, 121, 123, 125–126, 135–136, 177, 234, 248, 262, 289, 294, 299, 418, 423–424, 434, 551–553, 555–556, 563–564, 566–567, 569–570, 574–576, 579–580, 582, 588–590, 594, 596, 599"
>95,"PAU, PUL",0,无
>95,"PUL, PAU",2,"251, 279"
